Order ID,Customer ID,Product ID,Product Category,Purchase Amount,Purchase Date
O22,C206,P8,Electronics,389.5,8/6/2023
O22,C206,P19,Clothing,128.62,8/6/2023
O22,C206,P11,Clothing,123.21,8/6/2023
O23,C171,P49,Sports,188.79,7/9/2023
O23,C171,P30,Home & Kitchen,49.26,7/9/2023
O23,C171,P50,Sports,330.21,7/9/2023
O23,C171,P7,Electronics,255.85,7/9/2023
O23,C171,P15,Clothing,87.47,7/9/2023
O23,C171,P9,Electronics,287.52,7/9/2023
O24,C253,P50,Sports,226.5,2/21/2023
O24,C253,P29,Home & Kitchen,240.08,2/21/2023
O24,C253,P49,Sports,340,2/21/2023
O24,C253,P29,Home & Kitchen,277.54,2/21/2023
O25,C118,P30,Home & Kitchen,193.7,9/24/2023
O26,C126,P39,Books,79.47,12/25/2023
O26,C126,P26,Home & Kitchen,177.13,12/25/2023
O26,C126,P23,Home & Kitchen,216.59,12/25/2023
O27,C79,P22,Home & Kitchen,231.55,8/26/2023
O28,C385,P24,Home & Kitchen,96.67,10/16/2023
O28,C385,P9,Electronics,388.32,10/16/2023
O28,C385,P23,Home & Kitchen,56.09,10/16/2023
O28,C385,P50,Sports,286.5,10/16/2023
O29,C451,P27,Home & Kitchen,91.21,9/11/2023
O29,C451,P39,Books,90.69,9/11/2023
O29,C451,P12,Clothing,137.39,9/11/2023
O29,C451,P15,Clothing,133.69,9/11/2023
O29,C451,P28,Home & Kitchen,122.2,9/11/2023
O29,C451,P21,Home & Kitchen,191.55,9/11/2023
O30,C462,P23,Home & Kitchen,56.35,3/25/2023
O30,C462,P31,Books,44.59,3/25/2023
O30,C462,P30,Home & Kitchen,238.96,3/25/2023
O31,C176,P42,Sports,283.27,10/11/2023
O31,C176,P20,Clothing,168.66,10/11/2023
O31,C176,P19,Clothing,86.11,10/11/2023
O31,C176,P29,Home & Kitchen,212.33,10/11/2023
O31,C176,P1,Electronics,167.58,10/11/2023
O31,C176,P19,Clothing,146.67,10/11/2023
O32,C372,P33,Books,12.45,3/21/2023
O33,C47,P10,Electronics,190.35,1/22/2023
O33,C47,P22,Home & Kitchen,281.26,1/22/2023
O33,C47,P50,Sports,357.59,1/22/2023
O33,C47,P43,Sports,263.52,1/22/2023
O33,C47,P17,Clothing,162.54,1/22/2023
O33,C47,P25,Home & Kitchen,206.39,1/22/2023
O34,C384,P17,Clothing,85.24,6/10/2023
O34,C384,P48,Sports,116.46,6/10/2023
O35,C291,P4,Electronics,303.53,8/23/2023
O35,C291,P25,Home & Kitchen,182.66,8/23/2023
O35,C291,P14,Clothing,199.67,8/23/2023
O36,C156,P38,Books,59.77,10/31/2023
O36,C156,P26,Home & Kitchen,171.98,10/31/2023
O36,C156,P13,Clothing,67.87,10/31/2023
O37,C235,P6,Electronics,394.1,8/15/2023
O37,C235,P49,Sports,96.9,8/15/2023
O37,C235,P50,Sports,373,8/15/2023
O38,C23,P10,Electronics,293.95,2/21/2023
O38,C23,P24,Home & Kitchen,261.97,2/21/2023
O38,C23,P42,Sports,303.53,2/21/2023
O39,C89,P44,Sports,247.25,9/15/2023
O40,C166,P38,Books,92.31,3/16/2023
O41,C67,P9,Electronics,199.28,3/3/2023
O41,C67,P48,Sports,289.49,3/3/2023
O41,C67,P2,Electronics,443.59,3/3/2023
O41,C67,P31,Books,49.92,3/3/2023
O42,C238,P17,Clothing,139.46,9/9/2023
O42,C238,P8,Electronics,251.94,9/9/2023
O42,C238,P29,Home & Kitchen,286.4,9/9/2023
O42,C238,P34,Books,48.3,9/9/2023
O43,C337,P15,Clothing,183.97,3/21/2023
O43,C337,P13,Clothing,77.86,3/21/2023
O43,C337,P9,Electronics,486.68,3/21/2023
O43,C337,P39,Books,15.15,3/21/2023
O43,C337,P48,Sports,99.77,3/21/2023
O43,C337,P50,Sports,129.28,3/21/2023
O44,C57,P43,Sports,129,12/22/2023
O44,C57,P6,Electronics,439,12/22/2023
O44,C57,P33,Books,80.25,12/22/2023
O44,C57,P27,Home & Kitchen,236.66,12/22/2023
O44,C57,P4,Electronics,119.77,12/22/2023
O45,C321,P10,Electronics,188.85,5/24/2023
O46,C192,P25,Home & Kitchen,75.7,11/24/2023
O47,C344,P33,Books,11.15,6/10/2023
O48,C344,P14,Clothing,105.66,5/11/2023
O49,C8,P49,Sports,310.89,12/31/2023
O50,C123,P44,Sports,169.96,3/12/2023
O50,C123,P31,Books,23.94,3/12/2023
O51,C321,P2,Electronics,333.12,8/28/2023
O51,C321,P45,Sports,352.09,8/28/2023
O51,C321,P10,Electronics,296.96,8/28/2023
O52,C239,P48,Sports,123.71,3/28/2023
O52,C239,P33,Books,16.01,3/28/2023
O52,C239,P9,Electronics,299.85,3/28/2023
O52,C239,P37,Books,44.12,3/28/2023
O52,C239,P30,Home & Kitchen,229.92,3/28/2023
O53,C255,P50,Sports,147.63,5/4/2023
O53,C255,P15,Clothing,104.77,5/4/2023
O53,C255,P5,Electronics,210.22,5/4/2023
O53,C255,P19,Clothing,61.89,5/4/2023
O53,C255,P15,Clothing,99.82,5/4/2023
O54,C60,P5,Electronics,411.41,2/21/2023
O54,C60,P25,Home & Kitchen,81.39,2/21/2023
O54,C60,P11,Clothing,147.2,2/21/2023
O54,C60,P26,Home & Kitchen,150.24,2/21/2023
O55,C251,P11,Clothing,131.99,1/20/2023
O55,C251,P13,Clothing,155.11,1/20/2023
O55,C251,P38,Books,96.43,1/20/2023
O55,C251,P9,Electronics,281.68,1/20/2023
O56,C294,P23,Home & Kitchen,172.95,4/4/2023
O57,C86,P30,Home & Kitchen,149.7,4/19/2023
O57,C86,P18,Clothing,59.65,4/19/2023
O57,C86,P45,Sports,220.82,4/19/2023
O57,C86,P16,Clothing,177.84,4/19/2023
O58,C440,P10,Electronics,165.48,8/15/2023
O58,C440,P7,Electronics,466.34,8/15/2023
O58,C440,P20,Clothing,125.09,8/15/2023
O58,C440,P7,Electronics,492.45,8/15/2023
O58,C440,P18,Clothing,57.5,8/15/2023
O59,C58,P15,Clothing,74.48,3/11/2023
O59,C58,P42,Sports,233.91,3/11/2023
O59,C58,P40,Books,58.67,3/11/2023
O59,C58,P19,Clothing,86.78,3/11/2023
O59,C58,P42,Sports,379.85,3/11/2023
O60,C363,P5,Electronics,411.97,7/4/2023
O60,C363,P18,Clothing,194.27,7/4/2023
O61,C307,P32,Books,62.64,4/24/2023
O61,C307,P16,Clothing,186.95,4/24/2023
O61,C307,P3,Electronics,262.89,4/24/2023
O62,C481,P3,Electronics,353.48,1/20/2023
O62,C481,P35,Books,49.61,1/20/2023
O63,C397,P34,Books,19.89,7/15/2023
O63,C397,P25,Home & Kitchen,99.74,7/15/2023
O63,C397,P36,Books,45.85,7/15/2023
O63,C397,P11,Clothing,129.83,7/15/2023
O63,C397,P47,Sports,308.83,7/15/2023
O63,C397,P24,Home & Kitchen,202.64,7/15/2023
O64,C75,P12,Clothing,88.13,4/25/2023
O64,C75,P27,Home & Kitchen,296.46,4/25/2023
O64,C75,P41,Sports,303.75,4/25/2023
O64,C75,P9,Electronics,162.85,4/25/2023
O64,C75,P20,Clothing,60.96,4/25/2023
O64,C75,P29,Home & Kitchen,39.67,4/25/2023
O65,C66,P6,Electronics,375.78,9/17/2023
O65,C66,P17,Clothing,134.76,9/17/2023
O65,C66,P6,Electronics,303.78,9/17/2023
O65,C66,P15,Clothing,76.25,9/17/2023
O66,C477,P1,Electronics,368.74,8/11/2023
O66,C477,P6,Electronics,255.6,8/11/2023
O67,C380,P29,Home & Kitchen,253.91,12/24/2023
O67,C380,P49,Sports,360.61,12/24/2023
O68,C154,P9,Electronics,428.91,8/1/2023
O68,C154,P7,Electronics,311.02,8/1/2023
O68,C154,P6,Electronics,308,8/1/2023
O68,C154,P17,Clothing,125.67,8/1/2023
O69,C197,P18,Clothing,166.74,7/2/2023
O69,C197,P43,Sports,323.15,7/2/2023
O69,C197,P30,Home & Kitchen,106.62,7/2/2023
O69,C197,P8,Electronics,249.53,7/2/2023
O69,C197,P17,Clothing,113.42,7/2/2023
O70,C97,P27,Home & Kitchen,187.04,3/18/2023
O70,C97,P14,Clothing,173.15,3/18/2023
O70,C97,P15,Clothing,106.37,3/18/2023
O70,C97,P5,Electronics,292.71,3/18/2023
O71,C151,P16,Clothing,79.68,3/13/2023
O71,C151,P13,Clothing,195.26,3/13/2023
O72,C75,P14,Clothing,197.9,10/11/2023
O72,C75,P24,Home & Kitchen,98.11,10/11/2023
O72,C75,P32,Books,89.98,10/11/2023
O72,C75,P17,Clothing,50.45,10/11/2023
O73,C58,P38,Books,62.57,5/19/2023
O73,C58,P50,Sports,303.12,5/19/2023
O73,C58,P44,Sports,230.11,5/19/2023
O74,C172,P17,Clothing,146.2,6/1/2023
O74,C172,P45,Sports,166.43,6/1/2023
O75,C375,P44,Sports,223.39,1/19/2023
O75,C375,P21,Home & Kitchen,186.1,1/19/2023
O75,C375,P4,Electronics,138.3,1/19/2023
O75,C375,P9,Electronics,178.43,1/19/2023
O76,C8,P13,Clothing,170.4,9/28/2023
O76,C8,P49,Sports,384.27,9/28/2023
O76,C8,P16,Clothing,102.08,9/28/2023
O76,C8,P34,Books,37.33,9/28/2023
O76,C8,P10,Electronics,475.38,9/28/2023
O77,C260,P36,Books,62.35,8/10/2023
O77,C260,P15,Clothing,112.17,8/10/2023
O78,C360,P6,Electronics,261.47,10/29/2023
O79,C280,P13,Clothing,141.64,4/21/2023
O80,C194,P35,Books,67.48,3/13/2023
O80,C194,P49,Sports,91.96,3/13/2023
O80,C194,P1,Electronics,171.96,3/13/2023
O81,C274,P28,Home & Kitchen,206.92,6/14/2023
O81,C274,P14,Clothing,80.14,6/14/2023
O81,C274,P1,Electronics,266.94,6/14/2023
O82,C81,P3,Electronics,191.7,2/28/2023
O82,C81,P34,Books,64.27,2/28/2023
O82,C81,P42,Sports,304.63,2/28/2023
O82,C81,P49,Sports,135,2/28/2023
O82,C81,P8,Electronics,392.72,2/28/2023
O83,C231,P33,Books,19.19,8/26/2023
O83,C231,P19,Clothing,119.69,8/26/2023
O83,C231,P50,Sports,268.28,8/26/2023
O83,C231,P47,Sports,325.82,8/26/2023
O83,C231,P23,Home & Kitchen,246.37,8/26/2023
O83,C231,P11,Clothing,60.8,8/26/2023
O84,C178,P34,Books,69.6,8/9/2023
O85,C484,P28,Home & Kitchen,174.01,7/12/2023
O85,C484,P9,Electronics,262.28,7/12/2023
O85,C484,P41,Sports,393.1,7/12/2023
O85,C484,P22,Home & Kitchen,263.97,7/12/2023
O86,C250,P45,Sports,82,11/26/2023
O86,C250,P43,Sports,95.53,11/26/2023
O87,C44,P26,Home & Kitchen,72.82,1/20/2023
O87,C44,P8,Electronics,471.55,1/20/2023
O87,C44,P26,Home & Kitchen,112.96,1/20/2023
O87,C44,P7,Electronics,254.54,1/20/2023
O88,C133,P19,Clothing,134.74,12/4/2023
O89,C322,P11,Clothing,119.49,2/27/2023
O90,C320,P10,Electronics,181.01,4/10/2023
O90,C320,P43,Sports,131.53,4/10/2023
O90,C320,P22,Home & Kitchen,215.26,4/10/2023
O90,C320,P14,Clothing,190.18,4/10/2023
O90,C320,P47,Sports,134.74,4/10/2023
O91,C500,P8,Electronics,218.54,1/3/2023
O91,C500,P27,Home & Kitchen,176.3,1/3/2023
O91,C500,P35,Books,46.2,1/3/2023
O91,C500,P37,Books,19.87,1/3/2023
O92,C380,P18,Clothing,188.03,3/15/2023
O92,C380,P42,Sports,224.11,3/15/2023
O93,C42,P41,Sports,347.78,3/16/2023
O93,C42,P13,Clothing,186.38,3/16/2023
O93,C42,P25,Home & Kitchen,246.46,3/16/2023
O93,C42,P43,Sports,93.31,3/16/2023
O93,C42,P12,Clothing,156.32,3/16/2023
O94,C128,P33,Books,39.72,10/27/2023
O94,C128,P27,Home & Kitchen,111.87,10/27/2023
O95,C103,P43,Sports,349.52,12/16/2023
O95,C103,P29,Home & Kitchen,262.8,12/16/2023
O95,C103,P19,Clothing,163.84,12/16/2023
O95,C103,P42,Sports,315.95,12/16/2023
O95,C103,P24,Home & Kitchen,41.84,12/16/2023
O96,C53,P44,Sports,312.84,3/24/2023
O96,C53,P1,Electronics,224.13,3/24/2023
O96,C53,P29,Home & Kitchen,289.45,3/24/2023
O96,C53,P7,Electronics,254.33,3/24/2023
O96,C53,P34,Books,21.84,3/24/2023
O96,C53,P20,Clothing,52.29,3/24/2023
O97,C308,P40,Books,56.03,7/17/2023
O97,C308,P28,Home & Kitchen,192.05,7/17/2023
O97,C308,P40,Books,82.45,7/17/2023
O97,C308,P33,Books,52.29,7/17/2023
O97,C308,P35,Books,50.69,7/17/2023
O98,C338,P31,Books,74.52,3/10/2023
O98,C338,P50,Sports,362.32,3/10/2023
O99,C72,P41,Sports,90.82,1/29/2023
O99,C72,P44,Sports,96.88,1/29/2023
O99,C72,P47,Sports,166.55,1/29/2023
O100,C370,P28,Home & Kitchen,265.98,11/7/2023
O100,C370,P33,Books,87.32,11/7/2023
O101,C281,P9,Electronics,125.53,2/13/2023
O101,C281,P4,Electronics,379.1,2/13/2023
O101,C281,P30,Home & Kitchen,256.17,2/13/2023
O101,C281,P34,Books,70.85,2/13/2023
O101,C281,P21,Home & Kitchen,32.34,2/13/2023
O102,C251,P21,Home & Kitchen,44.74,3/7/2023
O102,C251,P48,Sports,272.92,3/7/2023
O103,C79,P50,Sports,97.03,1/18/2023
O103,C79,P1,Electronics,226.07,1/18/2023
O103,C79,P2,Electronics,107.74,1/18/2023
O103,C79,P4,Electronics,117.18,1/18/2023
O103,C79,P26,Home & Kitchen,183.51,1/18/2023
O104,C256,P23,Home & Kitchen,159.58,3/24/2023
O104,C256,P21,Home & Kitchen,118.03,3/24/2023
O104,C256,P6,Electronics,239.36,3/24/2023
O104,C256,P13,Clothing,90.28,3/24/2023
O104,C256,P7,Electronics,389.87,3/24/2023
O104,C256,P38,Books,26.67,3/24/2023
O105,C15,P27,Home & Kitchen,95.52,3/27/2023
O105,C15,P8,Electronics,229.66,3/27/2023
O106,C135,P20,Clothing,123.45,9/15/2023
O106,C135,P29,Home & Kitchen,238.29,9/15/2023
O106,C135,P30,Home & Kitchen,160.72,9/15/2023
O106,C135,P47,Sports,91.18,9/15/2023
O107,C451,P20,Clothing,148.9,6/16/2023
O107,C451,P29,Home & Kitchen,243.24,6/16/2023
O107,C451,P37,Books,40.24,6/16/2023
O107,C451,P9,Electronics,147.95,6/16/2023
O107,C451,P38,Books,47.47,6/16/2023
O108,C468,P33,Books,68.95,1/9/2023
O108,C468,P36,Books,99.31,1/9/2023
O109,C340,P33,Books,64.58,2/13/2023
O109,C340,P30,Home & Kitchen,49.04,2/13/2023
O109,C340,P38,Books,23.81,2/13/2023
O110,C269,P38,Books,84.54,7/30/2023
O110,C269,P35,Books,58.09,7/30/2023
O110,C269,P22,Home & Kitchen,259.71,7/30/2023
O110,C269,P42,Sports,246.15,7/30/2023
O110,C269,P45,Sports,230.49,7/30/2023
O110,C269,P16,Clothing,71.62,7/30/2023
O111,C248,P29,Home & Kitchen,231.17,3/12/2023
O111,C248,P39,Books,64.49,3/12/2023
O112,C451,P43,Sports,106.98,11/5/2023
O112,C451,P28,Home & Kitchen,198.79,11/5/2023
O113,C225,P39,Books,84.49,5/8/2023
O113,C225,P16,Clothing,173.55,5/8/2023
O113,C225,P6,Electronics,459.1,5/8/2023
O113,C225,P24,Home & Kitchen,214.42,5/8/2023
O113,C225,P11,Clothing,55.7,5/8/2023
O114,C177,P17,Clothing,80.04,12/30/2023
O114,C177,P27,Home & Kitchen,71.03,12/30/2023
O114,C177,P39,Books,73.66,12/30/2023
O114,C177,P13,Clothing,64.34,12/30/2023
O115,C317,P34,Books,19.61,1/21/2023
O115,C317,P2,Electronics,116.43,1/21/2023
O116,C440,P47,Sports,301.12,12/27/2023
O116,C440,P8,Electronics,149.09,12/27/2023
O117,C376,P11,Clothing,92.08,12/20/2023
O118,C488,P8,Electronics,168.37,8/25/2023
O118,C488,P39,Books,55.99,8/25/2023
O119,C345,P20,Clothing,63.9,12/28/2023
O119,C345,P48,Sports,271.15,12/28/2023
O120,C332,P4,Electronics,173.88,11/1/2023
O120,C332,P24,Home & Kitchen,165.26,11/1/2023
O120,C332,P40,Books,74.21,11/1/2023
O120,C332,P36,Books,26.53,11/1/2023
O121,C478,P48,Sports,359.52,3/19/2023
O121,C478,P44,Sports,241.6,3/19/2023
O122,C68,P44,Sports,210.35,10/2/2023
O122,C68,P42,Sports,346.01,10/2/2023
O123,C193,P4,Electronics,160.48,12/8/2023
O123,C193,P32,Books,35.75,12/8/2023
O123,C193,P12,Clothing,117.63,12/8/2023
O123,C193,P15,Clothing,185.2,12/8/2023
O123,C193,P49,Sports,269.31,12/8/2023
O124,C490,P19,Clothing,134.28,5/15/2023
O125,C106,P4,Electronics,220.91,6/12/2023
O125,C106,P6,Electronics,193.33,6/12/2023
O125,C106,P40,Books,53.48,6/12/2023
O125,C106,P36,Books,28.43,6/12/2023
O125,C106,P35,Books,44.33,6/12/2023
O126,C458,P33,Books,90.62,6/4/2023
O127,C53,P13,Clothing,158.89,4/15/2023
O127,C53,P49,Sports,126.04,4/15/2023
O127,C53,P20,Clothing,50.1,4/15/2023
O127,C53,P31,Books,51.13,4/15/2023
O127,C53,P47,Sports,83.35,4/15/2023
O127,C53,P12,Clothing,199.42,4/15/2023
O128,C232,P12,Clothing,84.83,12/20/2023
O129,C158,P19,Clothing,142.37,3/3/2023
O129,C158,P39,Books,63.83,3/3/2023
O130,C341,P50,Sports,157.36,8/15/2023
O130,C341,P20,Clothing,119.47,8/15/2023
O130,C341,P23,Home & Kitchen,164.62,8/15/2023
O130,C341,P39,Books,26.74,8/15/2023
O131,C352,P7,Electronics,271.16,9/6/2023
O131,C352,P2,Electronics,445.88,9/6/2023
O132,C179,P32,Books,25.82,6/28/2023
O132,C179,P12,Clothing,76.86,6/28/2023
O132,C179,P19,Clothing,180.44,6/28/2023
O133,C497,P16,Clothing,154.39,3/31/2023
O133,C497,P48,Sports,396.25,3/31/2023
O134,C379,P44,Sports,262.47,1/19/2023
O134,C379,P42,Sports,297.48,1/19/2023
O134,C379,P30,Home & Kitchen,86.64,1/19/2023
O134,C379,P26,Home & Kitchen,104.55,1/19/2023
O134,C379,P41,Sports,322.6,1/19/2023
O135,C159,P18,Clothing,177.58,7/18/2023
O135,C159,P13,Clothing,121.2,7/18/2023
O135,C159,P25,Home & Kitchen,121.82,7/18/2023
O135,C159,P29,Home & Kitchen,175.41,7/18/2023
O136,C461,P13,Clothing,181.05,7/12/2023
O136,C461,P7,Electronics,402.57,7/12/2023
O136,C461,P17,Clothing,77.17,7/12/2023
O136,C461,P50,Sports,141.9,7/12/2023
O137,C385,P30,Home & Kitchen,288.99,1/23/2023
O137,C385,P45,Sports,99.14,1/23/2023
O137,C385,P13,Clothing,115.66,1/23/2023
O137,C385,P17,Clothing,61.92,1/23/2023
O137,C385,P45,Sports,93.66,1/23/2023
O138,C431,P5,Electronics,288.19,12/27/2023
O138,C431,P49,Sports,113.78,12/27/2023
O139,C447,P22,Home & Kitchen,277.51,11/15/2023
O140,C260,P43,Sports,223.23,4/18/2023
O140,C260,P41,Sports,358.2,4/18/2023
O140,C260,P47,Sports,397.7,4/18/2023
O140,C260,P4,Electronics,326,4/18/2023
O140,C260,P11,Clothing,180.3,4/18/2023
O141,C367,P34,Books,28.74,10/18/2023
O141,C367,P32,Books,31.78,10/18/2023
O141,C367,P44,Sports,201.85,10/18/2023
O141,C367,P16,Clothing,123.29,10/18/2023
O141,C367,P10,Electronics,302.52,10/18/2023
O141,C367,P37,Books,91.7,10/18/2023
O142,C213,P49,Sports,208.88,11/27/2023
O142,C213,P3,Electronics,110.54,11/27/2023
O143,C404,P16,Clothing,195.49,10/5/2023
O143,C404,P37,Books,51.38,10/5/2023
O143,C404,P23,Home & Kitchen,188.82,10/5/2023
O144,C456,P29,Home & Kitchen,133.38,7/2/2023
O145,C326,P23,Home & Kitchen,266.83,2/21/2023
O145,C326,P32,Books,52.86,2/21/2023
O145,C326,P10,Electronics,119.98,2/21/2023
O146,C88,P9,Electronics,355.05,11/3/2023
O146,C88,P10,Electronics,430.46,11/3/2023
O146,C88,P7,Electronics,175.99,11/3/2023
O146,C88,P25,Home & Kitchen,111.33,11/3/2023
O146,C88,P43,Sports,260.46,11/3/2023
O147,C35,P36,Books,44.16,5/20/2023
O147,C35,P50,Sports,306.51,5/20/2023
O148,C416,P36,Books,68.14,10/10/2023
O148,C416,P43,Sports,185.72,10/10/2023
O148,C416,P33,Books,92.28,10/10/2023
O148,C416,P30,Home & Kitchen,35.49,10/10/2023
O149,C67,P31,Books,66.2,4/16/2023
O149,C67,P3,Electronics,188.94,4/16/2023
O149,C67,P7,Electronics,415.86,4/16/2023
O149,C67,P30,Home & Kitchen,247.13,4/16/2023
O149,C67,P47,Sports,88.51,4/16/2023
O150,C280,P23,Home & Kitchen,129.34,11/11/2023
O150,C280,P1,Electronics,396.22,11/11/2023
O151,C134,P17,Clothing,57.05,10/17/2023
O151,C134,P38,Books,52.89,10/17/2023
O151,C134,P11,Clothing,98.9,10/17/2023
O151,C134,P21,Home & Kitchen,223.46,10/17/2023
O151,C134,P45,Sports,375.78,10/17/2023
O152,C24,P17,Clothing,122.73,7/3/2023
O152,C24,P42,Sports,133.83,7/3/2023
O152,C24,P45,Sports,252.85,7/3/2023
O152,C24,P49,Sports,148.02,7/3/2023
O153,C337,P26,Home & Kitchen,215.55,8/17/2023
O153,C337,P16,Clothing,115.13,8/17/2023
O153,C337,P41,Sports,169.22,8/17/2023
O154,C261,P9,Electronics,477.89,8/22/2023
O154,C261,P50,Sports,81.27,8/22/2023
O154,C261,P28,Home & Kitchen,117.64,8/22/2023
O155,C166,P2,Electronics,151.53,1/1/2023
O155,C166,P1,Electronics,165.88,1/1/2023
O155,C166,P30,Home & Kitchen,49.9,1/1/2023
O155,C166,P32,Books,22.6,1/1/2023
O156,C11,P34,Books,92.29,6/26/2023
O156,C11,P32,Books,74.59,6/26/2023
O156,C11,P23,Home & Kitchen,150.09,6/26/2023
O157,C184,P27,Home & Kitchen,225.34,7/21/2023
O157,C184,P40,Books,11.28,7/21/2023
O157,C184,P46,Sports,353.08,7/21/2023
O157,C184,P7,Electronics,491.05,7/21/2023
O157,C184,P42,Sports,135.9,7/21/2023
O158,C67,P20,Clothing,141.09,1/2/2023
O158,C67,P50,Sports,313.56,1/2/2023
O159,C431,P44,Sports,218.38,6/11/2023
O159,C431,P37,Books,95.59,6/11/2023
O159,C431,P37,Books,96.74,6/11/2023
O159,C431,P45,Sports,372.66,6/11/2023
O160,C132,P27,Home & Kitchen,145.03,12/22/2023
O160,C132,P42,Sports,267.33,12/22/2023
O161,C347,P23,Home & Kitchen,194.73,10/23/2023
O162,C319,P30,Home & Kitchen,178.19,4/9/2023
O163,C276,P37,Books,55.79,10/2/2023
O163,C276,P27,Home & Kitchen,114.03,10/2/2023
O163,C276,P32,Books,48.78,10/2/2023
O163,C276,P30,Home & Kitchen,74.42,10/2/2023
O163,C276,P15,Clothing,144.98,10/2/2023
O163,C276,P24,Home & Kitchen,107.31,10/2/2023
O164,C466,P23,Home & Kitchen,71.94,10/17/2023
O164,C466,P31,Books,94.54,10/17/2023
O164,C466,P27,Home & Kitchen,108.17,10/17/2023
O164,C466,P34,Books,45.34,10/17/2023
O164,C466,P9,Electronics,428.29,10/17/2023
O164,C466,P19,Clothing,73.92,10/17/2023
O165,C55,P26,Home & Kitchen,277.68,8/25/2023
O165,C55,P36,Books,48.6,8/25/2023
O165,C55,P1,Electronics,409.36,8/25/2023
O165,C55,P34,Books,18.13,8/25/2023
O166,C398,P23,Home & Kitchen,51.94,11/12/2023
O166,C398,P16,Clothing,142.71,11/12/2023
O166,C398,P38,Books,26.45,11/12/2023
O166,C398,P34,Books,97.31,11/12/2023
O166,C398,P48,Sports,307.38,11/12/2023
O166,C398,P40,Books,51.97,11/12/2023
O167,C378,P37,Books,33.06,7/20/2023
O167,C378,P14,Clothing,196.98,7/20/2023
O167,C378,P11,Clothing,183.45,7/20/2023
O167,C378,P12,Clothing,176.22,7/20/2023
O168,C379,P5,Electronics,455.45,5/23/2023
O169,C236,P15,Clothing,161.38,8/19/2023
O169,C236,P48,Sports,218.29,8/19/2023
O169,C236,P16,Clothing,101.53,8/19/2023
